source,destination,permanent
/blog/toadstools-and-microdosing/,/blog/Muchomurky-a-microdosing,true
/cz/muchomurky-a-microdosing/,/cz/blog/Muchomurky-a-microdosing,true
/cz/objevte-jedinecnost-a-nadrazenost-cerveny-borneo-kratom-drceny-list/,/cz/blog/red-borneo-kratom-crushed-leaf,true
/es/hoja-triturada-de-kratom-rojo-de-borneo/,/es/blog/red-borneo-kratom-crushed-leaf,true
/blog/red-borneo-kratom-crushed-leaf/,/blog/red-borneo-kratom-crushed-leaf,true
/de/red-borneo-kratom-zerkleinerte-blaetter/,/de/blog/red-borneo-kratom-crushed-leaf,true
/about-us/,/about,true
/cz/o-nas/,/cz/about,true
/de/uber-uns/,/de/about,true
/ua/pro-nas/,/ua/about,true
/ru/pro-nas/,/ua/ru/about,true
/contact-us/,/contacts,true
/cz/kontakt/,/cz/contacts,true
/de/kontakt/,/de/contacts,true
/ua/kontakty/,/ua/contacts,true
/es/contact-us/,/es/contacts,true
/ru/kontakty/,/ua/ru/contacts,true
/products-quality-tests/,/certificates,true
/cz/certifikaty-a-testy-vyrobku/,/cz/certificates,true
/de/certifikaty-a-testy-vyrobku/,/de/certificates,true
/es/pruebas-y-certificados-de-calidad-del-producto/,/es/certificates,true
/cz/novinky-obchodu-argyreia-nervosa/,/cz/blog/new-in-store-argyreia-nervosa,true
/blog/new-in-store-argyreia-nervosa/,/blog/new-in-store-argyreia-nervosa,true
/ua/novynky-magazynu-gavajska-troyanda/,/ua/blog/new-in-store-argyreia-nervosa,true
/ru/novinki-argyreia-nervosa-gavajskaya-roza/,/ua/ru/blog/new-in-store-argyreia-nervosa,true
/vseobecne-obchodni-podminky/,/terms,true
/vivadzen-zasady-ochrany-osobnich-udaju/,/policy,true
/zasady-vraceni-penez/,/returns,true
/viva-dzen-shop/,/catalog,true
/product-category/entheogens/,/entheogeny,true
/product-category/superfoods/,/superpotraviny,true
/product-category/teas/,/caje-2,true
/product-category/coffee/,/kava-2,true
/product-category/kratom/,/kratom,true
/product-category/mushrooms/,/houby,true
/cz/vseobecne-obchodni-podminky/,/cz/terms,true
/cz/vivadzen-zasady-ochrany-osobnich-udaju/,/cz/policy,true
/cz/zasady-vraceni-penez/,/cz/returns,true
/cz/viva-dzen-shop/,/cz/catalog,true
/cz/product-category/legal-kanabinoidy/,/cz/konopi,true
/cz/product-category/entheogeny/,/cz/entheogeny,true
/cz/product-category/superpotraviny/,/cz/superpotraviny,true
/cz/product-category/caj/,/cz/caje-2,true
/cz/product-category/kava/,/cz/kava-2,true
/cz/product-category/caje-kava/,/cz/caje-kava,true
/cz/product-category/kratom/,/cz/kratom,true
/cz/product-category/mushrooms/,/cz/houby,true
/cz/platba-a-doruceni/,/cz/delivery,true
/platba-a-doruceni/,/delivery,true
/de/viva-dzen-shop/,/de/catalog,true
/de/product-category/legal-kanabinoidy/,/de/konopi,true
/de/product-category/mushrooms/,/de/houby,true
/de/viva-dzen-shop/?filter_product_cat=entheogeny,/de/entheogeny,true
/de/product-category/superpotraviny/,/de/superpotraviny,true
/de/product-category/kratom/,/de/kratom,true
/de/zahlung-und-lieferung/,/de/payment,true
/de/allgemeine-geschaeftsbedingungen/,/de/terms,true
/de/vivadzen-datenschutzerklaerung/,/de/policy,true
/de/zasady-vraceni-penez/,/de/returns,true
/ua/viva-dzen-shop/,/ua/catalog,true
/ua/product-category/entheogeny/,/ua/entheogeny,true
/ua/product-category/griby/,/ua/houby,true
/ua/product-category/seperfoody/,/ua/superpotraviny,true
/ua/product-category/caj/,/ua/caje-2,true
/ua/product-category/kava/,/ua/kava-2,true
/ua/oplata-ta-dostavka/,/ua/delivery,true
/ua/zahalni-polozhennia-ta-umovy/,/ua/terms,true
/ru/viva-dzen-shop/,/ua/ru/catalog,true
